"component","origin","license","copyright"
"com.github.DataDog/datadog-csi-driver","git+https://github.com/DataDog/datadog-csi-driver","['Apache-2.0']","['Datadog, Inc.']"
"github.com/Datadog/datadog-csi-driver","https://github.com/Datadog/datadog-csi-driver","['Apache-2.0']","['Datadog, Inc.']"
"github.com/beorn7/perks","https://github.com/beorn7/perks","['MIT']","['Blake Mizerany']"
"github.com/cespare/xxhash/v2","https://github.com/cespare/xxhash/tree/main/v2","['MIT']","['Caleb Spare']"
"github.com/container-storage-interface/spec","https://github.com/container-storage-interface/spec","['Apache-2.0']","['container-storage-interface']"
"github.com/davecgh/go-spew","https://github.com/davecgh/go-spew","['ISC']","['Dave Collins']"
"github.com/go-logr/logr","https://github.com/go-logr/logr","['Apache-2.0']","['go-logr']"
"github.com/klauspost/compress","https://github.com/klauspost/compress","['Apache-2.0', 'BSD-3-Clause', 'MIT']","['Caleb Spare', 'Evan Huus', 'Klaus Post', 'Pierre Curto', 'The Go Authors', 'The New York Times Company', 'The Snappy-Go Authors', 'The filepathx']"
"github.com/kr/text","https://github.com/kr/text","['MIT']","['Keith Rarick']"
"github.com/munnerz/goautoneg","https://github.com/munnerz/goautoneg","['BSD-3-Clause']","['Open Knowledge Foundation Ltd.']"
"github.com/pmezard/go-difflib","https://github.com/pmezard/go-difflib","['BSD-3-Clause']","['Patrick Mezard']"
"github.com/prometheus/client_golang","https://github.com/prometheus/client_golang","['Apache-2.0']","['Blake Mizerany, Bjorn Rabenstein', 'The Go Authors', 'The Prometheus Authors']"
"github.com/prometheus/client_model","https://github.com/prometheus/client_model","['Apache-2.0']","['The Prometheus Authors']"
"github.com/prometheus/common","https://github.com/prometheus/common","['Apache-2.0']","['The Prometheus Authors']"
"github.com/prometheus/procfs","https://github.com/prometheus/procfs","['Apache-2.0']","['The Prometheus Authors']"
"github.com/spf13/afero","https://github.com/spf13/afero","['Apache-2.0']","['spf13']"
"github.com/stretchr/testify","https://github.com/stretchr/testify","['MIT']","['Mat Ryer, Tyler Bunnell and contributors']"
"golang.org/x/net","https://golang.org/x/net","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/sys","https://golang.org/x/sys","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/text","https://golang.org/x/text","['BSD-3-Clause']","['The Go Authors']"
"google.golang.org/genproto/googleapis/rpc","https://google.golang.org/genproto/googleapis/rpc","['Apache-2.0']","[]"
"google.golang.org/grpc","https://google.golang.org/grpc","['Apache-2.0']","['gRPC']"
"google.golang.org/protobuf","https://google.golang.org/protobuf","['BSD-3-Clause']","['The Go Authors']"
"gopkg.in/yaml.v3","https://gopkg.in/yaml.v3","['(MIT', 'Apache-2.0)', 'MIT']","['Canonical Ltd', 'Canonical Ltd.', 'Kirill Simonov']"
"k8s.io/klog","https://k8s.io/klog","['Apache-2.0']","[]"
"k8s.io/klog/v2","https://k8s.io/klog/v2","['Apache-2.0']","[]"
"k8s.io/utils","https://k8s.io/utils","['Apache-2.0']","['The Go Authors']"

